Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-29,61.9529,62.5763,61.439,62.3561,1095398.5209973
2016-03-01,62.5315,62.8719,60.6772,62.1178,988105.43581952
2016-03-02,63.6508,64.0455,62.2284,62.8433,1481072.5310569
2016-03-03,61.5305,67.5424,61.0357,67.4596,3254216.3706866
2016-03-04,68.8362,70.0298,68.4511,69.9097,2456703.2707965
2016-03-07,69.7552,71.1214,68.6341,70.4512,1685709.7825257
2016-03-08,70.0298,70.5798,66.9094,67.001,1701400.4391019
2016-03-09,67.001,68.2775,65.9265,67.6892,1474046.9265548
2016-03-10,67.2755,68.3776,65.8998,65.955,1152251.5838852
2016-03-11,66.9915,67.8447,66.5509,66.5509,1032844.6279408
2016-03-14,67.3776,68.3319,67.0552,67.4138,1236630.1638445
2016-03-15,66.9543,68.0477,66.1296,67.1116,1268014.6237291
2016-03-16,67.4138,67.8637,64.4678,66.1105,1243213.1279913
2016-03-17,68.1021,69.7552,67.653,69.5254,2031322.7426079
2016-03-18,68.8362,70.4331,67.7903,69.8649,1899603.6717568
2016-03-21,69.2958,70.5436,68.8542,69.8829,674895.42800354
2016-03-22,69.6627,70.6714,67.919,70.6714,1185213.6056049
2016-03-23,70.6714,72.7831,69.2128,69.7552,2804002.8794363
2016-03-24,69.5617,69.5617,67.3414,68.3319,1474835.7074723
2016-03-29,70.0765,70.8744,68.4691,68.8362,1513401.0106567
2016-03-30,69.3224,70.2682,68.8362,69.9383,1076518.1266948
2016-03-31,69.7552,69.8467,68.5988,69.8467,1259161.8166229
2016-04-01,69.5712,69.7085,67.5329,68.8277,1032734.4923074
2016-04-04,68.6436,68.6436,66.6892,67.2212,1229348.6251085
2016-04-05,66.9094,66.9094,64.3945,64.3945,1485372.0164039
2016-04-06,64.3401,65.5871,63.7881,64.0179,1259335.9358148
2016-04-07,64.9817,65.1553,62.2284,62.2284,1521029.7388657
2016-04-08,62.4124,63.4039,61.1549,61.4017,1559363.2327644
2016-04-11,61.7231,63.5869,61.4104,63.0081,993417.12008328
2016-04-12,63.7518,64.5508,62.9167,63.8987,1070541.4329873
2016-04-13,65.6243,67.368,65.2658,67.2307,1601093.0998161
2016-04-14,67.001,67.4413,65.8998,66.8093,993320.62029018
2016-04-15,66.1658,66.5977,64.8158,65.1648,833931.28267797
2016-04-18,64.0369,65.3669,63.5134,65.0732,758700.25375821
2016-04-19,66.1296,68.5158,65.7349,68.5158,1552611.3939797
2016-04-20,68.1021,70.2052,67.5329,69.8924,1606355.4852725
2016-04-21,70.6714,71.7001,68.5158,69.2958,1574596.5642342
2016-04-22,69.0106,69.782,68.065,69.2958,984626.19871389
2016-04-25,69.066,69.1212,67.4328,67.8733,941469.81298164
2016-04-26,67.1382,68.287,67.0467,67.6988,749759.3381452
2016-04-27,67.184,68.6521,66.6796,66.6796,721685.24072823
2016-04-28,66.6615,67.0925,64.5956,66.3402,936285.04692402
2016-04-29,66.7712,68.2946,65.4765,68.2488,1771865.2173711
2016-05-02,68.1668,68.3871,67.2212,67.2755,555595.46096024
2016-05-04,64.6328,65.7615,63.7976,64.6423,1686531.0796779
2016-05-05,64.6423,64.6423,62.1092,62.1368,1539544.0633008
2016-05-06,62.2284,63.605,61.274,62.8719,1275159.8040618
2016-05-09,61.9795,62.4667,61.0538,61.4476,857294.72171648
2016-05-10,61.7688,61.7688,59.272,59.6581,1455313.3797636
2016-05-11,60.274,60.7688,59.7877,59.8507,770096.66954134
2016-05-12,60.5666,60.5762,58.6294,58.6294,891540.61024877
2016-05-13,58.0059,58.6294,57.5569,57.8314,1093306.9928729
2016-05-16,59.1995,61.1739,58.8497,60.7593,1636229.513613
2016-05-17,61.907,62.8623,59.6771,59.8049,2371469.8285396
2016-05-18,59.5293,59.5293,57.1803,58.2815,1354553.9599253
2016-05-19,57.8219,57.8219,56.4186,56.9048,1016523.5759771
